title,url,published_utc
"MOM urges contractors, construction workers to stay alert in busy lead-up to Chinese New Year after worksite death",https://www.channelnewsasia.com/singapore/worksite-death-tengah-hdb-plantation-edge-bto-indian-national-construction-workplace-safety-mom-4843271,2025-01-07T15:06:00+00:00
"19,600 BTO flats to launch this year, including 3,800 units with waiting time of under 3 years",https://www.channelnewsasia.com/singapore/19600-bto-flats-launched-2025-desmond-lee-4859601,2025-01-16T09:00:00+00:00
Government 'not averse' to more property cooling measures but will wait for current ones to work: Desmond Lee,https://www.channelnewsasia.com/singapore/singapore-not-averse-new-property-cooling-measures-desmond-lee-4860611,2025-01-16T09:00:00+00:00
"New AI-driven tool aims to help buyers search for homes, fix viewing appointments",https://www.channelnewsasia.com/singapore/mogulsg-property-listings-ai-driven-tool-home-buyers-4918046,2025-02-05T11:52:00+00:00
"More than S$407 million allocated to upgrading works for 29,000 flats",https://www.channelnewsasia.com/singapore/hdb-home-improvement-programme-29000-flats-4941461,2025-02-16T06:40:00+00:00
Prime flats in Kallang Whampoa the most popular in February BTO exercise,https://www.channelnewsasia.com/singapore/hdb-february-2025-bto-sales-exercise-tanjong-rhu-queenstown-4943201,2025-02-17T14:27:00+00:00
Multi-agency committee set up to support residents of new BTO flats,https://www.channelnewsasia.com/singapore/bto-new-flats-multi-agency-committee-support-residents-5061846,2025-04-12T10:38:00+00:00
"1,000 BTO flats at site of former Keppel Club golf course to go on sale in October",https://www.channelnewsasia.com/singapore/keppel-club-hdb-bto-flats-october-exercise-toa-payoh-5131711,2025-05-15T07:40:00+00:00
Worker dies after being struck by reversing truck at HDB worksite in Yishun,https://www.channelnewsasia.com/singapore/worker-dies-hdb-yishun-chencharu-tipper-truck-driver-arrested-5151431,2025-05-24T23:01:00+00:00
Expect 'moderation' in HDB resale flat prices when supply increases from next year: Chee Hong Tat,https://www.channelnewsasia.com/singapore/hdb-resale-flat-prices-moderate-bto-supply-chee-hong-tat-5156511,2025-05-28T07:52:00+00:00
S$300 monthly rental voucher initiative for eligible families awaiting BTO flats extended to Dec 31,https://www.channelnewsasia.com/singapore/monthly-rental-voucher-pphs-hdb-flat-bedroom-bto-5184076,2025-06-16T04:12:14+00:00
"80,000 new homes, including in Newton and Orchard, to be built under URA draft master plan",https://www.channelnewsasia.com/singapore/ura-draft-master-plan-unveils-proposals-new-homes-orchard-and-newton-5200016,2025-06-25T02:30:00+00:00
HDB resale prices up 0.9% in Q2; slowest quarterly rise since 2020,https://www.channelnewsasia.com/singapore/hdb-resale-prices-up-09-second-quarter-lowest-2020-5212951,2025-07-01T03:05:00+00:00
Higher seller's stamp duty for Singapore private homes; holding period increased from three to four years,https://www.channelnewsasia.com/singapore/singapore-sellers-stamp-duty-4-years-private-property-5219066,2025-07-03T15:44:00+00:00
"Higher seller's stamp duty, longer holding period for private homes to have limited impact on market: Analysts",https://www.channelnewsasia.com/singapore/property-analysts-limited-impact-sellers-stamp-duty-holding-period-5220046,2025-07-04T06:09:00+00:00
"Singapore's housing demand to keep rising amid lifestyle shifts, ageing population: URA, HDB",https://www.channelnewsasia.com/singapore/housing-demand-population-ura-master-plan-5224401,2025-07-09T22:00:00+00:00
"BTO flats in Clementi, Bukit Panjang with shorter waiting times to go on sale in July",https://www.channelnewsasia.com/singapore/clementi-bukit-panjang-bto-flats-hdb-july-sales-exercise-5238591,2025-07-16T02:04:00+00:00
HDB launches four Prime projects in July BTO exercise; subsidy clawback hits high of 12%,https://www.channelnewsasia.com/singapore/hdb-july-2025-sales-exercise-prime-flats-5253306,2025-07-23T04:34:00+00:00
"First BTO flats in Greater Southern Waterfront, Mount Pleasant to be launched in October",https://www.channelnewsasia.com/singapore/bto-flats-greater-southern-waterfront-mount-pleasant-october-hdb-5257796,2025-07-25T03:54:00+00:00
"About 22,000 applications received in July BTO sales exercise so far: Chee Hong Tat",https://www.channelnewsasia.com/singapore/about-22000-applications-received-july-bto-sales-exercise-so-far-chee-hong-tat-5267171,2025-07-30T13:08:00+00:00
"Clinic gets Bidadari space at S$18,000 a month under new tender scheme factoring in quality",https://www.channelnewsasia.com/singapore/gp-clinic-tender-bartley-beacon-bridgepoint-health-price-quality-method-5271956,2025-08-01T08:56:20+00:00
"BTO income ceilings, eligibility age for singles under review: Chee Hong Tat",https://www.channelnewsasia.com/singapore/bto-income-ceiling-singles-age-review-chee-hong-tat-5284381,2025-08-10T10:00:00+00:00
Singapore to develop VERS framework in current term of government; no plans for more SERS,https://www.channelnewsasia.com/singapore/vers-sers-hip-chee-hong-tat-5284406,2025-08-10T10:00:00+00:00
"Residents' support, compensation will be key to VERS success, experts say",https://www.channelnewsasia.com/singapore/securing-buy-in-residents-possible-challenge-vers-housing-experts-5288086,2025-08-11T04:57:00+00:00
‘White flats’ to be offered at first Mount Pleasant BTO project up for sale in October,https://www.channelnewsasia.com/singapore/white-flats-offered-first-mount-pleasant-housing-bto-project-october-5327776,2025-09-02T10:00:00+00:00
